NAME,B01001_001E,state,county
"Cass County, Iowa",13191,19,029
"Cass County, Michigan",51460,26,027
"Cass County, Minnesota",29022,27,021
"Cass County, Missouri",102678,29,037
"Cass County, Nebraska",25702,31,025
"Cass County, North Dakota",174202,38,017
"Cass County, Texas",30087,48,067
"Cassia County, Idaho",23615,16,031
"Castro County, Texas",7787,48,069
"Caswell County, North Carolina",22746,37,033
"Catahoula Parish, Louisiana",9893,22,025
"Catawba County, North Carolina",156729,37,035
"Cataño Municipio, Puerto Rico",24888,72,033
"Catoosa County, Georgia",66299,13,047
"Catron County, New Mexico",3539,35,003
"Cattaraugus County, New York",77686,36,009
"Cavalier County, North Dakota",3824,38,019
"Cayey Municipio, Puerto Rico",44530,72,035
"Cayuga County, New York",77868,36,011
"Cecil County, Maryland",102517,24,015
"Cedar County, Iowa",18445,19,031
"Cedar County, Missouri",13938,29,039
"Cedar County, Nebraska",8523,31,027
"Ceiba Municipio, Puerto Rico",11853,72,037
"Centre County, Pennsylvania",161443,42,027
"Cerro Gordo County, Iowa",42984,19,033
"Chaffee County, Colorado",19164,08,015
"Chambers County, Alabama",33826,01,017
"Chambers County, Texas",40292,48,071
"Champaign County, Illinois",209448,17,019
"Champaign County, Ohio",38864,39,021
"Chariton County, Missouri",7546,29,041
"Charles City County, Virginia",6995,51,036
"Charles County, Maryland",157671,24,017
"Charles Mix County, South Dakota",9344,46,023
"Charleston County, South Carolina",394708,45,019
"Charlevoix County, Michigan",26219,26,029
"Charlotte County, Florida",176954,12,015
"Charlotte County, Virginia",12095,51,037
"Charlottesville city, Virginia",47042,51,540
"Charlton County, Georgia",12983,13,049
"Chase County, Kansas",2645,20,017
"Chase County, Nebraska",3734,31,029
"Chatham County, Georgia",287049,13,051
"Chatham County, North Carolina",69791,37,037
"Chattahoochee County, Georgia",10767,13,053
"Chattooga County, Georgia",24817,13,055
"Chautauqua County, Kansas",3367,20,019
"Chautauqua County, New York",129656,36,013
"Chaves County, New Mexico",65459,35,005
"Cheatham County, Tennessee",39929,47,021
"Cheboygan County, Michigan",25458,26,031
"Chelan County, Washington",75757,53,007
"Chemung County, New York",85740,36,015
"Chenango County, New York",48348,36,017
"Cherokee County, Alabama",25853,01,019
"Cherokee County, Georgia",241910,13,057
"Cherokee County, Iowa",11468,19,035
"Cherokee County, Kansas",20331,20,021
"Cherokee County, North Carolina",27668,37,039
"Cherokee County, Oklahoma",48599,40,021
"Cherokee County, South Carolina",56711,45,021
"Cherokee County, Texas",51903,48,073
"Cherry County, Nebraska",5790,31,031
"Chesapeake city, Virginia",237820,51,550
"Cheshire County, New Hampshire",76263,33,005
"Chester County, Pennsylvania",517156,42,029
"Chester County, South Carolina",32326,45,023
"Chester County, Tennessee",17150,47,023
"Chesterfield County, South Carolina",46024,45,025
"Chesterfield County, Virginia",339447,51,041
"Cheyenne County, Colorado",2039,08,017
"Cheyenne County, Kansas",2677,20,023
"Cheyenne County, Nebraska",9852,31,033
"Chickasaw County, Iowa",12099,19,037
"Chickasaw County, Mississippi",17279,28,017
"Chicot County, Arkansas",10826,05,017
"Childress County, Texas",7226,48,075
"Chilton County, Alabama",43930,01,021
"Chippewa County, Michigan",37834,26,033
"Chippewa County, Minnesota",12010,27,023
"Chippewa County, Wisconsin",63635,55,017
"Chisago County, Minnesota",54727,27,025
"Chittenden County, Vermont",162052,50,007
"Choctaw County, Alabama",13075,01,023
"Choctaw County, Mississippi",8321,28,019
"Choctaw County, Oklahoma",14886,40,023
"Chouteau County, Montana",5789,30,015
"Chowan County, North Carolina",14205,37,041
"Christian County, Illinois",33231,17,021
"Christian County, Kentucky",72263,21,047
"Christian County, Missouri",84275,29,043
"Churchill County, Nevada",24010,32,001
"Ciales Municipio, Puerto Rico",16912,72,039
"Cibola County, New Mexico",26978,35,006
"Cidra Municipio, Puerto Rico",40343,72,041
"Cimarron County, Oklahoma",2189,40,025
"Citrus County, Florida",143087,12,017
"Clackamas County, Oregon",405788,41,005
"Claiborne County, Mississippi",9120,28,021
"Claiborne County, Tennessee",31613,47,025
"Claiborne Parish, Louisiana",16153,22,027
"Clallam County, Washington",74487,53,009
"Clare County, Michigan",30616,26,035
"Clarendon County, South Carolina",34017,45,027
"Clarion County, Pennsylvania",38827,42,031
"Clark County, Arkansas",22385,05,019
"Clark County, Idaho",1077,16,033
"Clark County, Illinois",15836,17,023
"Clark County, Indiana",115702,18,019
"Clark County, Kansas",2053,20,025
"Clark County, Kentucky",35872,21,049
"Clark County, Missouri",6800,29,045
"Clark County, Nevada",2141574,32,003
"Clark County, Ohio",135198,39,023
"Clark County, South Dakota",3673,46,025
"Clark County, Washington",465384,53,011
"Clark County, Wisconsin",34491,55,019
"Clarke County, Alabama",24387,01,025
"Clarke County, Georgia",124602,13,059
"Clarke County, Iowa",9282,19,039
"Clarke County, Mississippi",15928,28,023
"Clarke County, Virginia",14365,51,043
"Clatsop County, Oregon",38562,41,007
"Clay County, Alabama",13378,01,027
"Clay County, Arkansas",15061,05,021
"Clay County, Florida",207291,12,019
"Clay County, Georgia",3001,13,061
"Clay County, Illinois",13338,17,025
"Clay County, Indiana",26268,18,021
"Clay County, Iowa",16313,19,041
"Clay County, Kansas",8142,20,027
"Clay County, Kentucky",20621,21,051
"Clay County, Minnesota",62801,27,027
"Clay County, Mississippi",19808,28,025
"Clay County, Missouri",239164,29,047
"Clay County, Nebraska",6232,31,035
"Clay County, North Carolina",10813,37,043
"Clay County, South Dakota",13925,46,027
"Clay County, Tennessee",7686,47,027
"Clay County, Texas",10387,48,077
"Clay County, West Virginia",8785,54,015
"Clayton County, Georgia",278666,13,063
"Clayton County, Iowa",17672,19,043
"Clear Creek County, Colorado",9379,08,019
"Clearfield County, Pennsylvania",80216,42,033
"Clearwater County, Idaho",8640,16,035
"Clearwater County, Minnesota",8812,27,029
"Cleburne County, Alabama",14938,01,029
"Cleburne County, Arkansas",25230,05,023
"Clermont County, Ohio",203216,39,025
"Cleveland County, Arkansas",8226,05,025
"Cleveland County, North Carolina",97159,37,045
"Cleveland County, Oklahoma",276733,40,027
"Clinch County, Georgia",6743,13,065
"Clinton County, Illinois",37628,17,027
"Clinton County, Indiana",32301,18,023
"Clinton County, Iowa",47218,19,045
"Clinton County, Kentucky",10211,21,053
"Clinton County, Michigan",77896,26,037
"Clinton County, Missouri",20475,29,049
"Clinton County, New York",80794,36,019
"Clinton County, Ohio",41896,39,027
"Clinton County, Pennsylvania",39074,42,035
"Cloud County, Kansas",9060,20,029
"Coahoma County, Mississippi",23802,28,027
"Coal County, Oklahoma",5618,40,029
"Coamo Municipio, Puerto Rico",39265,72,043
"Cobb County, Georgia",745057,13,067
"Cochise County, Arizona",126279,04,003
"Cochran County, Texas",2904,48,079
"Cocke County, Tennessee",35336,47,029
"Coconino County, Arizona",140217,04,005
"Codington County, South Dakota",27993,46,029
"Coffee County, Alabama",51288,01,031
"Coffee County, Georgia",42961,13,069
"Coffee County, Tennessee",54531,47,031
"Coffey County, Kansas",8296,20,031
"Coke County, Texas",3275,48,081
"Colbert County, Alabama",54495,01,033
"Cole County, Missouri",76740,29,051
"Coleman County, Texas",8391,48,083
"Coles County, Illinois",51736,17,029
"Colfax County, Nebraska",10760,31,037
"Colfax County, New Mexico",12353,35,007
"Colleton County, South Carolina",37568,45,029
"Collier County, Florida",363922,12,021
"Collin County, Texas",944350,48,085
"Collingsworth County, Texas",2996,48,087
"Colonial Heights city, Virginia",17593,51,570
"Colorado County, Texas",21022,48,089
"Colquitt County, Georgia",45606,13,071
"Columbia County, Arkansas",23892,05,027
"Columbia County, Florida",69105,12,023
"Columbia County, Georgia",147295,13,073
"Columbia County, New York",60919,36,021
"Columbia County, Oregon",50851,41,009
"Columbia County, Pennsylvania",66220,42,037
"Columbia County, Washington",4001,53,013
"Columbia County, Wisconsin",56954,55,021
"Columbiana County, Ohio",104003,39,029
"Columbus County, North Carolina",56293,37,047
"Colusa County, California",21464,06,011
"Comal County, Texas",135097,48,091
"Comanche County, Kansas",1780,20,033
"Comanche County, Oklahoma",122561,40,031
"Comanche County, Texas",13495,48,093
"Comerío Municipio, Puerto Rico",19539,72,045
"Concho County, Texas",4233,48,095
"Concordia Parish, Louisiana",20021,22,029
"Conecuh County, Alabama",12514,01,035
"Conejos County, Colorado",8142,08,021
"Contra Costa County, California",1133247,06,013
"Converse County, Wyoming",13997,56,009
"Conway County, Arkansas",20906,05,029
"Cook County, Georgia",17184,13,075
"Cook County, Illinois",5223719,17,031
"Cook County, Minnesota",5311,27,031
"Cooke County, Texas",39571,48,097
"Cooper County, Missouri",17622,29,053
"Coos County, New Hampshire",32038,33,007
"Coos County, Oregon",63308,41,011
"Coosa County, Alabama",10855,01,037
"Copiah County, Mississippi",28721,28,029
"Corozal Municipio, Puerto Rico",34165,72,047
"Corson County, South Dakota",4168,46,031
"Cortland County, New York",48123,36,023
"Coryell County, Texas",75389,48,099
"Coshocton County, Ohio",36574,39,031
"Costilla County, Colorado",3687,08,023
"Cottle County, Texas",1623,48,101
"Cotton County, Oklahoma",5929,40,033
"Cottonwood County, Minnesota",11372,27,033
"Covington County, Alabama",37351,01,039
"Covington County, Mississippi",19091,28,031
"Covington city, Virginia",5582,51,580
"Coweta County, Georgia",140516,13,077
"Cowley County, Kansas",35591,20,035
"Cowlitz County, Washington",105112,53,015
"Craig County, Oklahoma",14493,40,035
"Craig County, Virginia",5113,51,045
"Craighead County, Arkansas",105701,05,031
"Crane County, Texas",4839,48,103
"Craven County, North Carolina",103082,37,049
"Crawford County, Arkansas",62472,05,033
"Crawford County, Georgia",12344,13,079
"Crawford County, Illinois",19088,17,033
"Crawford County, Indiana",10581,18,025
"Crawford County, Iowa",17132,19,047
"Crawford County, Kansas",39108,20,037
"Crawford County, Michigan",13836,26,039
"Crawford County, Missouri",24280,29,055
"Crawford County, Ohio",42021,39,033
"Crawford County, Pennsylvania",86164,42,039
"Crawford County, Wisconsin",16288,55,023
"Creek County, Oklahoma",71160,40,037
"Crenshaw County, Alabama",13865,01,041
"Crisp County, Georgia",22846,13,081
"Crittenden County, Arkansas",49013,05,035
"Crittenden County, Kentucky",9083,21,055
"Crockett County, Tennessee",14499,47,033
"Crockett County, Texas",3633,48,105
"Crook County, Oregon",22337,41,013
"Crook County, Wyoming",7410,56,011
"Crosby County, Texas",5861,48,107
"Cross County, Arkansas",16998,05,037
"Crow Wing County, Minnesota",63855,27,035
"Crowley County, Colorado",5630,08,025
"Culberson County, Texas",2241,48,109
"Culebra Municipio, Puerto Rico",1314,72,049
"Cullman County, Alabama",82313,01,043
"Culpeper County, Virginia",50450,51,047
"Cumberland County, Illinois",10865,17,035
